KEY,English,Korean
ClickToStart,Click to start,시작하려면 클릭
Yes,Yes,예
No,No,아니오
LogIn,LogIn,로그인
ClickHere,click here,이곳에 입력
LoginMsg_CreateSession,create session,으악
LoginMsg_SocialLogin,social login,으아악
LoginMsg_CreateAccount,create account,으아아악
LoginMsg_ConnectServer,connect server,으아아아악
LoginMsg_SocialBind,social bind,으아아아아악
LoginMsg_StageLoading,stage loading,으아아아아아악
LoginMsg_GetUserItem,get useritem,으아아아아아아악
Confirm,Confirm,확인
Cancel,Cancel,취소
Menu,Menu,메뉴
Friends,Friends,친구
GiftCenter,GiftCenter,기프트센터
Post,Post,우체통
Close,Close,닫기
MainMsg_StageConnecting,stage connecting,스테이지 진입중
Store_Title1,Title1,상점이름1
Store_Title2,Coins Store,코인 상점
Store_Title3,Credits Store,크레딧 상점
Store_Title4,Power_Ups (Normal) Store,일반 아이템 상점
Store_Title5,Power_Ups (Battle) Store,배틀 아이템 상점
Store_TopText1,TopText1,상점텍스트1
Store_TopText2,TopText2,상점텍스트2
Store_TopText3,TopText3,상점텍스트3
Store_TopText4,Normal Mode Power_Ups,상점텍스트4
Store_TopText5,Battle Mode Power_Ups,상점텍스트5
LobbyMsg_WaitInfoMsg,Select Cards Now.\nRound will start after :,카드를 선택하세요.\n다음 라운드 시작까지 : 
LobbyText_RemainBingos,Bingos\nLeft,남은 빙고\n갯수
Seconds,Seconds,초
LobbyText_CardSelection,Card Selection,카드 선택
LobbyText_CardNum1,1 CARD,1장
LobbyText_CardNum2,2 CARDS,2장
LobbyText_CardNum3,3 CARDS,3장
LobbyText_CardNum4,4 CARDS,4장
BingoHistory,History,히스토리
Players,Players,플레이어들
Rank_1,1st,1등
Rank_2,2nd,2등
Rank_3,3rd,3등
Rank_4,4th,4등
Rank_x,th,등
Inventory,Inventory,인벤토리
WorldMap,World Map,월드맵
ItemReady,Ready,사용가능
ItemCharging,Charging...,충전중...
ItemEmpty,Empty,아이템없음
Play,Play!,시작!
Option,Option,옵션
Profile,Profile,프로필
SelectLogin,Select Login,로그인 방식 선택
Login_Facebook,Facebook\nLogin,페이스북\n로그인
Login_TestId,Test Id\nLogin,테스트ID로\n로그인
Lobby_MatchStartTitle,Round starts soon!,라운드 시작이 얼마 남지 않았습니다.
Lobby_MatchStartMsg,Get ready... the game's about to start!,준비 하세요.. 게임이 곧 시작합니다!
Lobby_MiniGamble,Mini Gamble,작은 도박
Lobby_MiniGambleMsg,Enjoy mini gambling while waiting!,기다리면서 작은 도박을 즐기세요!
Lobby_MiniGambleBet,Bet:,배팅:
Lobby_MiniGambleShuffle,Shuffle,섞기
Rewards,Rewards,보상
RewardsFrom,Rewards From,획득한 보상
Reward_ShareAndCollect,Share & Collect,공유 & 수집
Reward_CollectOnly,Collect,수집
Reward_FoundText,Found!,찾았다!
Store_Vip_InfoText,Earn Bingo Rewards VIP Points for any real money purchade,구매를 하면 VIP 포인트를 획득 할 수 있습니다.
Store_Vip_ButtonText,Learn more,살펴보기
Option_Voice,Voice,음성
Option_Sound,Sound,효과음
Option_Music,Music,배경음
Option_FullScreen,Full\nscreen,전체화면
Option_Support,Support,고객문의
Option_Guide,Guide,가이드
